total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,policy,seed
470,470,470,0,0,0.0,4.7,0.010638297872340425,0.010638297872340425,1.0,3.76,0.8,0.0,50.35434109227208,93.12078483821811,112.52216174228596,"{0: 0.02242152466367713, 1: 0.0}",0.9998714692605886,5,FIFO + Fixed,42
551,551,551,0,0,0.0,5.51,0.025408348457350273,0.025408348457350273,1.0,4.408,0.7999999999999999,0.0,51.20501036049973,99.7680936538236,127.15665257743467,"{0: 0.052830188679245285, 1: 0.0}",0.9992644078483179,5,FIFO + Fixed,43
516,516,516,0,0,0.0,5.16,0.03682170542635659,0.03682170542635659,1.0,4.128,0.8000000000000002,0.0,50.8338214325986,112.11977527153431,173.1512942766926,"{0: 0.07364341085271318, 1: 0.0}",0.9985406476128875,5,FIFO + Fixed,44
470,470,470,0,0,0.0,4.7,0.002127659574468085,0.002127659574468085,1.0,3.76,0.8,0.0,50.35434109227208,91.87652161596262,111.41812182920334,"{0: 0.004484304932735426, 1: 0.0}",0.9999949501580601,5,EDF + Fixed,42
551,551,551,0,0,0.0,5.51,0.010889292196007259,0.010889292196007259,1.0,4.408,0.7999999999999999,0.0,51.17691255228783,99.7680936538236,137.24793398762085,"{0: 0.022641509433962263, 1: 0.0}",0.9998689059473002,5,EDF + Fixed,43
516,516,516,0,0,0.0,5.16,0.02131782945736434,0.02131782945736434,1.0,4.128,0.8000000000000002,0.0,50.8338214325986,101.62438235855461,181.6311183835436,"{0: 0.03488372093023256, 1: 0.007751937984496124}",0.9998078988842454,5,EDF + Fixed,44
470,469,469,1,0,0.002127659574468085,4.69,0.002127659574468085,0.0,1.0,3.7520000000000007,0.8,0.0,50.229007983072734,91.93927060482443,111.47595217973762,"{0: 0.004484304932735426, 1: 0.0}",0.9999949501580601,5,EDF + Admission Only + Fixed Model,42
551,548,548,3,0,0.0054446460980036296,5.48,0.010889292196007259,0.005474452554744526,1.0,4.384,0.7999999999999998,0.0,50.966914511750474,98.34504765897573,139.27502253554792,"{0: 0.022641509433962263, 1: 0.0}",0.9998689059473002,5,EDF + Admission Only + Fixed Model,43
516,511,511,5,0,0.009689922480620155,5.11,0.01937984496124031,0.009784735812133072,1.0,4.088,0.8,0.0,50.338145103814895,98.18405227784388,146.89295275151665,"{0: 0.03875968992248062, 1: 0.0}",0.9996095824093448,5,EDF + Admission Only + Fixed Model,44
470,470,470,0,0,0.0,4.7,0.002127659574468085,0.002127659574468085,1.0,3.76,0.8,0.0,50.35434109227208,91.87652161596262,111.41812182920334,"{0: 0.004484304932735426, 1: 0.0}",0.9999949501580601,5,EDF + Threshold Downgrade,42
