total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,policy_name
973,955,955,18,0,0.018499486125385406,9.55,0.02774922918807811,0.009424083769633508,1.0,7.64,0.8000000000000002,0.0,54.26618269255414,130.35721576064233,193.0058502359944,"{0: 0.055793991416309016, 1: 0.0019723865877712033}",0.9992326791848585,0.055793991416309016,0.0019723865877712033,10,42,Admission Only + Fixed Model,ablation,Admission Only + Fixed
1066,1039,1039,27,0,0.025328330206378986,10.39,0.03189493433395872,0.006737247353224254,1.0,8.312000000000001,0.8,0.0,56.61521219212591,146.02545315392123,234.28630163079953,"{0: 0.06614785992217899, 1: 0.0}",0.9988313694409174,0.06614785992217899,0.0,10,43,Admission Only + Fixed Model,ablation,Admission Only + Fixed
1036,1003,1003,33,0,0.03185328185328185,10.03,0.04343629343629344,0.011964107676969093,1.0,8.024000000000001,0.8,0.0,56.76777155214222,136.89159466980217,207.2514795834082,"{0: 0.08108108108108109, 1: 0.005791505791505791}",0.9984536428352118,0.08108108108108109,0.005791505791505791,10,44,Admission Only + Fixed Model,ablation,Admission Only + Fixed
973,973,973,0,0,0.0,9.73,0.024665981500513873,0.024665981500513873,1.0,7.77,0.7985611510791368,0.007194244604316547,54.602303809297155,139.9383424813655,194.32114883721627,"{0: 0.04935622317596566, 1: 0.0019723865877712033}",0.9994090829543567,0.04935622317596566,0.0019723865877712033,10,42,Threshold Downgrade,ablation,Threshold Downgrade
1066,1066,1066,0,0,0.0,10.66,0.04221388367729831,0.04221388367729831,1.0,8.506,0.797936210131332,0.010318949343339587,58.214470651907504,150.93864004387024,227.01426837384335,"{0: 0.08560311284046693, 1: 0.0018115942028985507}",0.9980843078172946,0.08560311284046693,0.0018115942028985507,10,43,Threshold Downgrade,ablation,Threshold Downgrade
1036,1036,1036,0,0,0.0,10.36,0.04054054054054054,0.04054054054054054,1.0,8.262,0.7974903474903475,0.012548262548262547,58.61360577405139,150.73756851557783,233.69642801364586,"{0: 0.07528957528957529, 1: 0.005791505791505791}",0.9986900251887131,0.07528957528957529,0.005791505791505791,10,44,Threshold Downgrade,ablation,Threshold Downgrade
973,973,973,0,0,0.0,9.73,0.0,0.0,1.0,5.837999999999999,0.6,1.0,10.639040396483324,20.105651481791575,27.21918249754668,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,10,42,Ablation: Fastest Feasible,ablation,Fastest Feasible
1066,1066,1066,0,0,0.0,10.66,0.0,0.0,1.0,6.396,0.5999999999999999,1.0,10.70426227774442,20.579334455007256,25.64146828933759,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,10,43,Ablation: Fastest Feasible,ablation,Fastest Feasible
1036,1036,1036,0,0,0.0,10.36,0.0,0.0,1.0,6.216,0.5999999999999999,1.0,10.844854786661017,20.81839252663849,25.915263884951507,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,10,44,Ablation: Fastest Feasible,ablation,Fastest Feasible
973,973,973,0,0,0.0,9.73,0.006166495375128468,0.006166495375128468,1.0,7.763000000000001,0.7978417266187051,0.020554984583761562,54.602303809297155,131.2639966438306,180.53360621855435,"{0: 0.01072961373390558, 1: 0.0019723865877712033}",0.9999805822544684,0.01072961373390558,0.0019723865877712033,10,42,Proposed: Feasible Utility,ablation,Proposed
