total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,workload,policy_name
973,973,973,0,0,0.0,9.73,0.024665981500513873,0.024665981500513873,1.0,7.784000000000001,0.8,0.0,54.65034028871014,142.83905756533784,196.05366399153627,"{0: 0.04935622317596566, 1: 0.0019723865877712033}",0.9994090829543567,0.04935622317596566,0.0019723865877712033,10,42,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
1066,1066,1066,0,0,0.0,10.66,0.0450281425891182,0.0450281425891182,1.0,8.528,0.7999999999999999,0.0,58.5499836328745,157.55065690994388,242.91804431315322,"{0: 0.08949416342412451, 1: 0.0036231884057971015}",0.9979762118721396,0.08949416342412451,0.0036231884057971015,10,43,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
1036,1036,1036,0,0,0.0,10.36,0.05019305019305019,0.05019305019305019,1.0,8.288,0.8000000000000002,0.0,58.939327610085655,157.73723540578771,255.33319114267266,"{0: 0.08687258687258688, 1: 0.013513513513513514}",0.9985108796535009,0.08687258687258688,0.013513513513513514,10,44,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
973,973,973,0,0,0.0,9.73,0.024665981500513873,0.024665981500513873,1.0,7.77,0.7985611510791368,0.007194244604316547,54.602303809297155,139.9383424813655,194.32114883721627,"{0: 0.04935622317596566, 1: 0.0019723865877712033}",0.9994090829543567,0.04935622317596566,0.0019723865877712033,10,42,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
1066,1066,1066,0,0,0.0,10.66,0.04221388367729831,0.04221388367729831,1.0,8.506,0.797936210131332,0.010318949343339587,58.214470651907504,150.93864004387024,227.01426837384335,"{0: 0.08560311284046693, 1: 0.0018115942028985507}",0.9980843078172946,0.08560311284046693,0.0018115942028985507,10,43,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
1036,1036,1036,0,0,0.0,10.36,0.04054054054054054,0.04054054054054054,1.0,8.262,0.7974903474903475,0.012548262548262547,58.61360577405139,150.73756851557783,233.69642801364586,"{0: 0.07528957528957529, 1: 0.005791505791505791}",0.9986900251887131,0.07528957528957529,0.005791505791505791,10,44,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
973,973,973,0,0,0.0,9.73,0.006166495375128468,0.006166495375128468,1.0,7.763000000000001,0.7978417266187051,0.020554984583761562,54.602303809297155,131.2639966438306,180.53360621855435,"{0: 0.01072961373390558, 1: 0.0019723865877712033}",0.9999805822544684,0.01072961373390558,0.0019723865877712033,10,42,Poisson | Proposed,burstiness,Poisson,Proposed
1066,1066,1066,0,0,0.0,10.66,0.0150093808630394,0.0150093808630394,1.0,8.49,0.7964352720450282,0.0300187617260788,57.22284748342645,145.8813089643154,226.26512827484444,"{0: 0.029182879377431907, 1: 0.0018115942028985507}",0.999806797565767,0.029182879377431907,0.0018115942028985507,10,43,Poisson | Proposed,burstiness,Poisson,Proposed
1036,1036,1036,0,0,0.0,10.36,0.02027027027027027,0.02027027027027027,1.0,8.249,0.7962355212355213,0.032818532818532815,58.12556107538694,144.5109589619101,233.69642801364586,"{0: 0.02895752895752896, 1: 0.011583011583011582}",0.9999213825795444,0.02895752895752896,0.011583011583011582,10,44,Poisson | Proposed,burstiness,Poisson,Proposed
1208,1208,1208,0,0,0.0,12.08,0.5066225165562914,0.5066225165562914,1.0,9.664000000000001,0.7999999999999999,0.0,156.7962116910494,519.000894520575,639.0617428901318,"{0: 0.4802065404475043, 1: 0.5311004784688995}",0.9973572264602951,0.4802065404475043,0.5311004784688995,10,42,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
1175,1175,1175,0,0,0.0,11.75,0.5217021276595745,0.5217021276595745,1.0,9.4,0.7999999999999999,0.0,144.33843562380935,502.3539031370965,592.704104279826,"{0: 0.5131147540983606, 1: 0.5309734513274337}",0.9996510908548947,0.5131147540983606,0.5309734513274337,10,43,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
1206,1206,1206,0,0,0.0,12.06,0.5315091210613598,0.5315091210613598,1.0,9.648000000000001,0.7999999999999999,0.0,153.89321008589104,531.4440100846004,671.793423951959,"{0: 0.5213815789473685, 1: 0.5418060200668896}",0.9995248959669306,0.5213815789473685,0.5418060200668896,10,44,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
1208,1208,1208,0,0,0.0,12.08,0.1490066225165563,0.1490066225165563,1.0,8.674,0.718046357615894,0.4097682119205298,110.8634032784339,256.80452242371274,310.0917833589555,"{0: 0.2822719449225473, 1: 0.025518341307814992}",0.977497013110448,0.2822719449225473,0.025518341307814992,10,42,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
1175,1175,1175,0,0,0.0,11.75,0.1727659574468085,0.1727659574468085,1.0,8.466000000000001,0.7205106382978722,0.3974468085106383,106.59216035029021,261.5207603019808,313.37929899715607,"{0: 0.3016393442622951, 1: 0.033628318584070796}",0.9747359215411052,0.3016393442622951,0.033628318584070796,10,43,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
1206,1206,1206,0,0,0.0,12.06,0.1865671641791045,0.1865671641791045,1.0,8.624,0.7150912106135986,0.42454394693200664,111.32291514006283,266.3007421420248,301.4318745583623,"{0: 0.34375, 1: 0.026755852842809364}",0.9635359583146188,0.34375,0.026755852842809364,10,44,ON-OFF | EDF + Threshold Downgrade,burstiness,ON-OFF,EDF + Threshold Downgrade
1208,1208,1208,0,0,0.0,12.08,0.20364238410596028,0.20364238410596028,1.0,9.277000000000001,0.7679635761589403,0.2367549668874172,96.83955146125845,354.36196698058166,402.6398041735158,"{0: 0.0963855421686747, 1: 0.30303030303030304}",0.9836049599658379,0.0963855421686747,0.30303030303030304,10,42,ON-OFF | Proposed,burstiness,ON-OFF,Proposed
