total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,scenario,policy_name
973,973,973,0,0,0.0,9.73,0.024665981500513873,0.024665981500513873,1.0,7.77,0.7985611510791368,0.007194244604316547,54.602303809297155,139.9383424813655,194.32114883721627,"{0: 0.04935622317596566, 1: 0.0019723865877712033}",0.9994090829543567,0.04935622317596566,0.0019723865877712033,10,42,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
1066,1066,1066,0,0,0.0,10.66,0.04221388367729831,0.04221388367729831,1.0,8.506,0.797936210131332,0.010318949343339587,58.214470651907504,150.93864004387024,227.01426837384335,"{0: 0.08560311284046693, 1: 0.0018115942028985507}",0.9980843078172946,0.08560311284046693,0.0018115942028985507,10,43,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
1036,1036,1036,0,0,0.0,10.36,0.04054054054054054,0.04054054054054054,1.0,8.262,0.7974903474903475,0.012548262548262547,58.61360577405139,150.73756851557783,233.69642801364586,"{0: 0.07528957528957529, 1: 0.005791505791505791}",0.9986900251887131,0.07528957528957529,0.005791505791505791,10,44,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
973,973,973,0,0,0.0,9.73,0.006166495375128468,0.006166495375128468,1.0,7.763000000000001,0.7978417266187051,0.020554984583761562,54.602303809297155,131.2639966438306,180.53360621855435,"{0: 0.01072961373390558, 1: 0.0019723865877712033}",0.9999805822544684,0.01072961373390558,0.0019723865877712033,10,42,Balanced | Proposed,heterogeneity,Balanced,Proposed
1066,1066,1066,0,0,0.0,10.66,0.0150093808630394,0.0150093808630394,1.0,8.49,0.7964352720450282,0.0300187617260788,57.22284748342645,145.8813089643154,226.26512827484444,"{0: 0.029182879377431907, 1: 0.0018115942028985507}",0.999806797565767,0.029182879377431907,0.0018115942028985507,10,43,Balanced | Proposed,heterogeneity,Balanced,Proposed
1036,1036,1036,0,0,0.0,10.36,0.02027027027027027,0.02027027027027027,1.0,8.249,0.7962355212355213,0.032818532818532815,58.12556107538694,144.5109589619101,233.69642801364586,"{0: 0.02895752895752896, 1: 0.011583011583011582}",0.9999213825795444,0.02895752895752896,0.011583011583011582,10,44,Balanced | Proposed,heterogeneity,Balanced,Proposed
973,973,973,0,0,0.0,9.73,0.15210688591983557,0.15210688591983557,1.0,7.77,0.7985611510791367,0.007194244604316547,54.65034028871014,129.04514094905753,185.80687259290016,"{0: 0.21376281112737922, 1: 0.006896551724137931}",0.986663853844381,0.21376281112737922,0.006896551724137931,10,42,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
1066,1066,1066,0,0,0.0,10.66,0.199812382739212,0.199812382739212,1.0,8.512,0.7984990619136961,0.0075046904315197,58.5499836328745,142.5449044632919,263.2315871201599,"{0: 0.2853297442799462, 1: 0.0030959752321981426}",0.9735287037549548,0.2853297442799462,0.0030959752321981426,10,43,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
1036,1036,1036,0,0,0.0,10.36,0.20463320463320464,0.20463320463320464,1.0,8.258000000000001,0.7971042471042473,0.01447876447876448,58.631693786373944,145.90476357223224,234.40267116733582,"{0: 0.28864569083447333, 1: 0.003278688524590164}",0.972845780896001,0.28864569083447333,0.003278688524590164,10,44,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
973,973,973,0,0,0.0,9.73,0.019527235354573486,0.019527235354573486,1.0,7.6530000000000005,0.7865364850976363,0.12332990750256938,53.665446821285514,95.97707211576633,147.92450601676944,"{0: 0.027818448023426062, 1: 0.0}",0.999801076720466,0.027818448023426062,0.0,10,42,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
1066,1066,1066,0,0,0.0,10.66,0.021575984990619138,0.021575984990619138,1.0,8.353000000000002,0.7835834896810506,0.1529080675422139,54.702034833138896,99.5049276559048,167.58066774931683,"{0: 0.03095558546433378, 1: 0.0}",0.9997529074248283,0.03095558546433378,0.0,10,43,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
1036,1036,1036,0,0,0.0,10.36,0.03957528957528957,0.03957528957528957,1.0,8.125,0.7842664092664092,0.14285714285714285,55.74195888412805,101.16076302818601,177.6366271744691,"{0: 0.0560875512995896, 1: 0.0}",0.9991682014446869,0.0560875512995896,0.0,10,44,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
1468,1468,1467,0,1,0.0,14.67,0.07425068119891008,0.07425068119891008,0.9993188010899182,11.582,0.7895023858214041,0.052452316076294275,71.90206583809413,200.98005036269168,276.9245552167909,"{0: 0.14185393258426968, 1: 0.010582010582010581}",0.9949770628097221,0.14185393258426968,0.010582010582010581,15,42,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
1576,1576,1576,0,0,0.0,15.76,0.09200507614213198,0.09200507614213198,1.0,12.394,0.7864213197969544,0.06789340101522842,75.5006499412932,212.90568590813928,296.45523335806865,"{0: 0.17374005305039789, 1: 0.0170316301703163}",0.9925535058161592,0.17374005305039789,0.0170316301703163,15,43,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
