total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
1468,1463,1462,5,1,0.0034059945504087193,14.62,0.0326975476839237,0.02939166097060834,0.9993164730006835,11.603,0.7936388508891928,0.05809979494190021,71.90268100252615,220.28191416619563,296.9012800137446,"{0: 0.047752808988764044, 1: 0.018518518518518517}",0.9997714954814931,15,42,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
1576,1562,1562,14,0,0.008883248730964468,15.62,0.06091370558375635,0.052496798975672214,1.0,12.371000000000002,0.7919974391805379,0.06978233034571063,74.18729260365217,250.42373810390654,329.37264728396224,"{0: 0.07294429708222812, 1: 0.049878345498783457}",0.9998490383718149,15,43,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
1569,1556,1556,13,0,0.0082855321861058,15.56,0.06246016571064372,0.05462724935732648,1.0,12.294,0.7901028277634962,0.08611825192802057,76.87928976385592,268.50689758556473,330.5109608007011,"{0: 0.06979695431472081, 1: 0.05505761843790013}",0.9999382184089232,15,44,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
1468,1461,1460,7,1,0.004768392370572207,14.6,0.04223433242506812,0.03764544832306639,0.999315537303217,11.579,0.793082191780822,0.06228610540725531,72.55337658758071,217.37197876449042,304.5817063952198,"{0: 0.06179775280898876, 1: 0.023809523809523808}",0.9996063909737744,15,42,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
1576,1557,1557,19,0,0.012055837563451776,15.57,0.08058375634517767,0.06936416184971098,1.0,12.328,0.7917790622992935,0.07064868336544637,75.76100253178447,266.85166778193974,347.5149746788025,"{0: 0.10742705570291777, 1: 0.05596107055961071}",0.9992153699968264,15,43,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
1569,1555,1555,14,0,0.008922880815806247,15.55,0.09560229445506692,0.08745980707395498,1.0,12.271,0.7891318327974276,0.09389067524115756,79.94085051912407,287.6489752037947,345.97774047299464,"{0: 0.1116751269035533, 1: 0.0793854033290653}",0.9996814759498786,15,44,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
1468,1463,1462,5,1,0.0034059945504087193,14.62,0.05653950953678474,0.05331510594668489,0.9993164730006835,11.586000000000002,0.7924760601915184,0.06903622693096377,74.69449429652377,231.76371518220841,311.62504543385705,"{0: 0.08426966292134831, 1: 0.03042328042328042}",0.9991849302918545,15,42,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
1576,1558,1558,18,0,0.011421319796954314,15.58,0.10215736040609137,0.09178433889602054,1.0,12.324000000000002,0.7910141206675225,0.07702182284980745,78.39656409965573,275.10804610078407,357.2369338040604,"{0: 0.1419098143236074, 1: 0.06569343065693431}",0.9981951387146062,15,43,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
1569,1552,1552,17,0,0.010834926704907584,15.52,0.12300828553218611,0.1134020618556701,1.0,12.241000000000001,0.7887242268041237,0.10115979381443299,82.10502733856993,296.8183769118389,358.25022286867096,"{0: 0.15101522842639595, 1: 0.09475032010243278}",0.9989723306150124,15,44,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
1468,1458,1457,10,1,0.006811989100817439,14.57,0.11171662125340599,0.1056241426611797,0.9993141289437586,11.533,0.7915579958819492,0.07613168724279835,76.97821356846543,257.3384689533196,341.4278613202577,"{0: 0.16573033707865167, 1: 0.06084656084656084}",0.9965144164824123,15,42,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
1576,1550,1550,26,0,0.01649746192893401,15.5,0.15545685279187818,0.14129032258064517,1.0,12.25,0.7903225806451613,0.08451612903225807,81.05524740614965,304.166840487111,373.8969004150606,"{0: 0.20822281167108753, 1: 0.1070559610705596}",0.9964070006810555,15,43,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
1569,1538,1538,31,0,0.019757807520713832,15.38,0.207138304652645,0.19115734720416125,1.0,12.086000000000002,0.7858257477243172,0.1235370611183355,86.92287732189288,335.6817148368105,407.3153253398264,"{0: 0.25761421319796957, 1: 0.15620998719590268}",0.9959295904738316,15,44,model_switch_overhead_ms=20,model_switch_overhead_ms,20.0
1954,1897,1893,57,4,0.02917093142272262,18.93,0.1299897645854657,0.10384818133895625,0.9978914074855034,14.892999999999999,0.7867406233491813,0.1191354770690564,86.18302497183322,312.54641380527454,348.0167743061401,"{0: 0.12105263157894737, 1: 0.13844621513944222}",0.9999001412478367,20,42,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
2084,2015,2008,69,7,0.033109404990403074,20.08,0.14587332053742802,0.11662531017369727,0.9965260545905708,15.747,0.7842131474103587,0.13647642679900746,90.77603507178719,318.68463402746545,353.8205167037025,"{0: 0.12714429868819374, 1: 0.16285452881976212}",0.9995640836843404,20,43,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
2075,2008,2008,67,0,0.03228915662650603,20.08,0.1566265060240964,0.12848605577689243,1.0,15.689,0.7813247011952191,0.16085657370517928,90.29543789000672,325.3143850142773,368.42448271052143,"{0: 0.13280475718533202, 1: 0.17917448405253283}",0.9992459747024398,20,44,model_switch_overhead_ms=0,model_switch_overhead_ms,0.0
1954,1883,1880,71,3,0.036335721596724664,18.8,0.1780962128966223,0.14710568242166755,0.9984067976633032,14.765,0.7853723404255322,0.12214551248008497,91.28086281531432,323.3472707685754,365.14015436424205,"{0: 0.18947368421052632, 1: 0.16733067729083664}",0.9998184418337754,20,42,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
2084,1997,1990,87,7,0.041746641074856046,19.9,0.21449136276391556,0.18027040560841262,0.9964947421131698,15.581000000000001,0.7829648241206031,0.14271407110665998,95.79089456116344,334.81108905451447,379.05319381434623,"{0: 0.20282542885973764, 1: 0.2250686184812443}",0.9997998555397867,20,43,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
2075,1988,1988,87,0,0.041927710843373496,19.88,0.22120481927710844,0.18712273641851107,1.0,15.513,0.7803319919517103,0.16498993963782696,94.1736627564078,338.0471382173594,382.2682038297913,"{0: 0.21110009910802774, 1: 0.23076923076923078}",0.9998406715169447,20,44,model_switch_overhead_ms=5,model_switch_overhead_ms,5.0
1954,1871,1867,83,4,0.04247697031729785,18.67,0.2323439099283521,0.1982896846606093,0.9978621058257616,14.637,0.7839850026780933,0.1362907536076964,95.14904310239217,338.6406052385457,381.1236624475931,"{0: 0.24947368421052632, 1: 0.21613545816733068}",0.9995281456128273,20,42,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
2084,1974,1968,110,6,0.052783109404990404,19.68,0.2763915547024952,0.23606889564336372,0.9969604863221885,15.383,0.7816565040650407,0.15704154002026344,101.33772338645758,352.3082548816541,395.37042144448634,"{0: 0.28557013118062563, 1: 0.26806953339432754}",0.9998536174923284,20,43,model_switch_overhead_ms=10,model_switch_overhead_ms,10.0
