total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
1468,1468,1467,0,1,0.0,14.67,0.05313351498637602,0.05313351498637602,0.9993188010899182,11.44,0.7798227675528289,0.1008174386920981,66.83407728324892,167.4511151002665,238.98636999643614,"{0: 0.10674157303370786, 1: 0.0026455026455026454}",0.9969776216069347,15,42,threshold_wait_ms=80.0,threshold_wait_ms,80.0
1576,1576,1576,0,0,0.0,15.76,0.06789340101522842,0.06789340101522842,1.0,12.236,0.7763959390862943,0.11802030456852793,72.30296986499695,174.43592812211136,259.9080596670119,"{0: 0.13395225464190982, 1: 0.0072992700729927005}",0.9953785539710416,15,43,threshold_wait_ms=80.0,threshold_wait_ms,80.0
1569,1569,1569,0,0,0.0,15.69,0.0758444869343531,0.0758444869343531,1.0,12.148,0.7742511153601019,0.12874442319949012,72.26099215231807,196.05198703383792,271.6270856307964,"{0: 0.1446700507614213, 1: 0.006402048655569782}",0.9944386348415527,15,44,threshold_wait_ms=80.0,threshold_wait_ms,80.0
1468,1468,1467,0,1,0.0,14.67,0.07425068119891008,0.07425068119891008,0.9993188010899182,11.582,0.7895023858214041,0.052452316076294275,71.90206583809413,200.98005036269168,276.9245552167909,"{0: 0.14185393258426968, 1: 0.010582010582010581}",0.9949770628097221,15,42,threshold_wait_ms=120.0,threshold_wait_ms,120.0
1576,1576,1576,0,0,0.0,15.76,0.09200507614213198,0.09200507614213198,1.0,12.394,0.7864213197969544,0.06789340101522842,75.5006499412932,212.90568590813928,296.45523335806865,"{0: 0.17374005305039789, 1: 0.0170316301703163}",0.9925535058161592,15,43,threshold_wait_ms=120.0,threshold_wait_ms,120.0
1569,1569,1569,0,0,0.0,15.69,0.09878903760356915,0.09878903760356915,1.0,12.296000000000001,0.7836838750796685,0.0815806246016571,76.74411190090905,231.81363294738298,298.4782302501509,"{0: 0.17639593908629442, 1: 0.020486555697823303}",0.9925790152722457,15,44,threshold_wait_ms=120.0,threshold_wait_ms,120.0
1468,1468,1467,0,1,0.0,14.67,0.07970027247956403,0.07970027247956403,0.9993188010899182,11.64,0.7934560327198364,0.0326975476839237,72.40281934834638,225.27592734565613,293.79187554561446,"{0: 0.14747191011235955, 1: 0.015873015873015872}",0.994892300434231,15,42,threshold_wait_ms=160.0,threshold_wait_ms,160.0
1576,1576,1576,0,0,0.0,15.76,0.10025380710659898,0.10025380710659898,1.0,12.454,0.7902284263959392,0.04885786802030457,76.56715317558337,234.2275657478524,312.93935097246504,"{0: 0.17904509283819628, 1: 0.027980535279805353}",0.9929513656880563,15,43,threshold_wait_ms=160.0,threshold_wait_ms,160.0
1569,1569,1569,0,0,0.0,15.69,0.10707456978967496,0.10707456978967496,1.0,12.364,0.7880178457616317,0.05991077119184194,80.07057109274683,246.3728984136687,313.1904014434835,"{0: 0.18401015228426396, 1: 0.029449423815621}",0.9925709347831868,15,44,threshold_wait_ms=160.0,threshold_wait_ms,160.0
1468,1468,1467,0,1,0.0,14.67,0.08719346049046321,0.08719346049046321,0.9993188010899182,11.672,0.7956373551465574,0.021798365122615803,73.77928789202997,237.54869564553664,303.01337187067617,"{0: 0.15308988764044945, 1: 0.02513227513227513}",0.9950908740903487,15,42,threshold_wait_ms=200.0,threshold_wait_ms,200.0
1576,1576,1576,0,0,0.0,15.76,0.10469543147208121,0.10469543147208121,1.0,12.478,0.791751269035533,0.041243654822335024,76.96944912681829,247.2869160553555,315.40261511436165,"{0: 0.18037135278514588, 1: 0.03527980535279805}",0.9934315537768582,15,43,threshold_wait_ms=200.0,threshold_wait_ms,200.0
