total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
1468,1468,1467,0,1,0.0,14.67,0.030653950953678476,0.030653950953678476,0.9993188010899182,11.633,0.7929788684389911,0.06198910081743869,70.37967891674634,216.3554781304425,299.534807960692,"{0: 0.04073033707865169, 1: 0.021164021164021163}",0.9998980894912554,15,42,utility_latency_penalty=0.0,utility_latency_penalty,0.0
1576,1576,1576,0,0,0.0,15.76,0.061548223350253804,0.061548223350253804,1.0,12.458,0.7904822335025382,0.07614213197969544,75.22532152953227,263.17332311352493,340.0920838384418,"{0: 0.07294429708222812, 1: 0.051094890510948905}",0.9998643646606163,15,43,utility_latency_penalty=0.0,utility_latency_penalty,0.0
1569,1569,1569,0,0,0.0,15.69,0.06054811982154239,0.06054811982154239,1.0,12.371000000000002,0.7884639898024218,0.09623964308476737,76.00823843532999,267.42775881790146,338.57467093877676,"{0: 0.06725888324873096, 1: 0.05377720870678617}",0.9999485211965524,15,44,utility_latency_penalty=0.0,utility_latency_penalty,0.0
1468,1468,1467,0,1,0.0,14.67,0.030653950953678476,0.030653950953678476,0.9993188010899182,11.633,0.7929788684389911,0.06198910081743869,70.37967891674634,216.3554781304425,299.534807960692,"{0: 0.04073033707865169, 1: 0.021164021164021163}",0.9998980894912554,15,42,utility_latency_penalty=0.12,utility_latency_penalty,0.12
1576,1576,1576,0,0,0.0,15.76,0.061548223350253804,0.061548223350253804,1.0,12.458,0.7904822335025382,0.07614213197969544,75.22532152953227,263.17332311352493,340.0920838384418,"{0: 0.07294429708222812, 1: 0.051094890510948905}",0.9998643646606163,15,43,utility_latency_penalty=0.12,utility_latency_penalty,0.12
1569,1569,1569,0,0,0.0,15.69,0.06054811982154239,0.06054811982154239,1.0,12.371000000000002,0.7884639898024218,0.09623964308476737,76.00823843532999,267.42775881790146,338.57467093877676,"{0: 0.06725888324873096, 1: 0.05377720870678617}",0.9999485211965524,15,44,utility_latency_penalty=0.12,utility_latency_penalty,0.12
1468,1468,1467,0,1,0.0,14.67,0.0013623978201634877,0.0013623978201634877,0.9993188010899182,11.024000000000001,0.7514655760054534,0.48501362397820164,45.834954443322204,125.09036425272426,163.2906494145271,"{0: 0.0, 1: 0.0026455026455026454}",0.9999982456940558,15,42,utility_latency_penalty=0.5,utility_latency_penalty,0.5
1576,1576,1576,0,0,0.0,15.76,0.0,0.0,1.0,11.854000000000001,0.7521573604060914,0.4784263959390863,48.02088255017952,133.93180054466575,198.4073674340009,"{0: 0.0, 1: 0.0}",1.0,15,43,utility_latency_penalty=0.5,utility_latency_penalty,0.5
1569,1569,1569,0,0,0.0,15.69,0.0019120458891013384,0.0019120458891013384,1.0,11.762,0.7496494582536647,0.5035054174633524,47.97713342810073,147.9598139444104,217.26217146417736,"{0: 0.0, 1: 0.0038412291933418692}",0.9999962970429832,15,44,utility_latency_penalty=0.5,utility_latency_penalty,0.5
1468,1468,1467,0,1,0.0,14.67,0.0013623978201634877,0.0013623978201634877,0.9993188010899182,11.024000000000001,0.7514655760054534,0.48501362397820164,45.834954443322204,125.09036425272426,163.2906494145271,"{0: 0.0, 1: 0.0026455026455026454}",0.9999982456940558,15,42,utility_latency_penalty=1.0,utility_latency_penalty,1.0
1576,1576,1576,0,0,0.0,15.76,0.0,0.0,1.0,11.854000000000001,0.7521573604060914,0.4784263959390863,48.02088255017952,133.93180054466575,198.4073674340009,"{0: 0.0, 1: 0.0}",1.0,15,43,utility_latency_penalty=1.0,utility_latency_penalty,1.0
1569,1569,1569,0,0,0.0,15.69,0.0019120458891013384,0.0019120458891013384,1.0,11.762,0.7496494582536647,0.5035054174633524,47.97713342810073,147.9598139444104,217.26217146417736,"{0: 0.0, 1: 0.0038412291933418692}",0.9999962970429832,15,44,utility_latency_penalty=1.0,utility_latency_penalty,1.0
1468,1468,1467,0,1,0.0,14.67,0.0006811989100817438,0.0006811989100817438,0.9993188010899182,9.556999999999999,0.6514655760054533,1.0,17.210457009248785,33.05358728148167,46.793424747189555,"{0: 0.0, 1: 0.0013227513227513227}",0.999999562003257,15,42,utility_latency_penalty=2.0,utility_latency_penalty,2.0
1576,1576,1576,0,0,0.0,15.76,0.0,0.0,1.0,10.277999999999999,0.6521573604060913,1.0,17.696922744540643,35.043511482464965,47.740495867134655,"{0: 0.0, 1: 0.0}",1.0,15,43,utility_latency_penalty=2.0,utility_latency_penalty,2.0
