total_requests,completed_requests,dropped_requests,drop_rate,throughput,overall_slo_miss_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,accuracy_weighted_throughput,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,policy
470,470,0,0.0,4.7,0.010638297872340425,50.35434109227208,93.12078483821811,112.52216174228596,3.76,"{0: 0.02242152466367713, 1: 0.0}",0.9998714692605886,5,FIFO (Fixed Model)
470,470,0,0.0,4.7,0.002127659574468085,50.35434109227208,91.87652161596262,111.41812182920334,3.76,"{0: 0.004484304932735426, 1: 0.0}",0.9999949501580601,5,EDF (Fixed Model)
470,470,0,0.0,4.7,0.0,50.19753290005974,89.6585014427987,108.81414794960929,3.7560000000000002,"{0: 0.0, 1: 0.0}",1.0,5,EDF + Downgrade
470,470,0,0.0,4.7,0.0,50.19753290005974,89.6585014427987,108.81414794960929,3.7560000000000002,"{0: 0.0, 1: 0.0}",1.0,5,EDF + Downgrade + Admission
973,973,0,0.0,9.73,0.06372045220966084,54.975060672022664,131.5625869888634,176.14611353063316,7.784000000000001,"{0: 0.13304721030042918, 1: 0.0}",0.9949470518334683,10,FIFO (Fixed Model)
973,973,0,0.0,9.73,0.024665981500513873,54.65034028871014,142.83905756533784,196.05366399153627,7.784000000000001,"{0: 0.04935622317596566, 1: 0.0019723865877712033}",0.9994090829543567,10,EDF (Fixed Model)
973,973,0,0.0,9.73,0.0041109969167523125,53.26554967064294,115.93734158921616,140.84383756511173,7.7170000000000005,"{0: 0.008583690987124463, 1: 0.0}",0.9999814212726429,10,EDF + Downgrade
973,964,9,0.009249743062692703,9.64,0.015416238437821172,53.84451185660873,116.53724555890363,141.62436716825752,7.666,"{0: 0.032188841201716736, 1: 0.0}",0.9997324976162565,10,EDF + Downgrade + Admission
1467,1467,0,0.0,14.67,0.18882072256305385,85.07502203256445,227.3674540824672,288.4171794674408,11.736,"{0: 0.38202247191011235, 1: 0.006622516556291391}",0.9485184349514417,15,FIFO (Fixed Model)
1467,1467,0,0.0,14.67,0.11929107021131562,76.48143466243346,269.2064380504468,340.0463538655276,11.736,"{0: 0.175561797752809, 1: 0.06622516556291391}",0.9961477704307954,15,EDF (Fixed Model)
1467,1467,0,0.0,14.67,0.012951601908657124,59.58654488007596,142.2994721604191,176.05174931215572,11.463,"{0: 0.026685393258426966, 1: 0.0}",0.9998171583469493,15,EDF + Downgrade
1467,1410,57,0.03885480572597137,14.1,0.053169734151329244,60.424613357949056,137.51459912221324,172.40846765148942,11.128,"{0: 0.10955056179775281, 1: 0.0}",0.9966530971504015,15,EDF + Downgrade + Admission
1948,1948,0,0.0,19.48,0.6180698151950719,259.4059524089389,723.0651185802483,987.4948709970556,15.584000000000001,"{0: 0.8435517970401691, 1: 0.405189620758483}",0.7460033303203197,20,FIFO (Fixed Model)
1948,1948,0,0.0,19.48,0.6391170431211499,254.8301638418052,755.6876455393615,1007.3460822945129,15.584000000000001,"{0: 0.6797040169133193, 1: 0.6007984031936128}",0.9881159346282434,20,EDF (Fixed Model)
1950,1950,0,0.0,19.5,0.014871794871794871,69.67630860575446,195.8979179280893,260.0364038142914,14.913,"{0: 0.02536997885835095, 1: 0.0049800796812749}",0.9998928467067791,20,EDF + Downgrade
1951,1786,165,0.08457201435161456,17.86,0.09687339825730394,75.24407121534023,168.55844619767777,220.33855413511412,13.968,"{0: 0.19957761351636746, 1: 0.0}",0.9878613376757626,20,EDF + Downgrade + Admission
2076,2076,0,0.0,20.76,0.9802504816955684,7371.190526479968,14377.624395578565,15495.867160536163,16.608,"{0: 0.996039603960396, 1: 0.9652908067542214}",0.6126357801234436,25,FIFO (Fixed Model)
2076,2076,0,0.0,20.76,0.9860308285163777,7375.21843292256,14367.746020798782,15493.127791445695,16.608,"{0: 0.9871414441147379, 1: 0.9849765258215962}",0.9940072825142606,25,EDF (Fixed Model)
2499,2499,0,0.0,24.99,0.028811524609843937,81.82338428348885,254.88338724360872,314.1739159644223,18.523,"{0: 0.029532403609515995, 1: 0.028125}",0.9999994749684231,25,EDF + Downgrade
2499,2065,434,0.17366946778711484,20.65,0.18527410964385754,91.98771047134323,210.76158410562783,271.18980767710366,16.074,"{0: 0.37407711238720265, 1: 0.00546875}",0.9508020519771682,25,EDF + Downgrade + Admission
2076,2076,0,0.0,20.76,0.99373795761079,14397.446772412426,27792.566562097938,29445.936355278987,16.608,"{0: 0.996039603960396, 1: 0.9915572232645403}",0.8844840634336764,30,FIFO (Fixed Model)
2076,2076,0,0.0,20.76,0.9942196531791907,14419.40736223739,27751.164202016604,29372.978423948218,16.608,"{0: 0.9930830039525692, 1: 0.9953007518796992}",0.9648322400093633,30,EDF (Fixed Model)
2983,2983,0,0.0,29.83,0.09822326516929265,94.90376254625517,305.6088879521527,341.46121225115684,21.456,"{0: 0.07215793056501021, 1: 0.12351387054161163}",0.9991905340161225,30,EDF + Downgrade
2986,2200,786,0.2632283991962492,22.0,0.28064300066979236,113.41973624087814,250.0403729507641,292.61969032355876,17.102,"{0: 0.5564625850340136, 1: 0.013192612137203167}",0.8739262417660935,30,EDF + Downgrade + Admission
